2026학년도 1학기 본과정(계약학과 포함) 전체 강의시간표,,,,,,,,
1. 2026. 1. 30.자 시간표로 교원 충원 및 강의실 사정 등에 따라 변동될 수 있음,,,,,,,,
2. 교양 교과목에 대한 상세 안내는 교양 시간표 안내 공지를 참조,,,,,,,,
3. 실용음악과 전공실기 교과목 배정 관련 사항은 학과 문의,,,,,,,,
과정부분,학과명,과목명,분반,교수명,학년,이수구분명,학점,시간표
본과정,토목공학과,철근콘크리트공학II,101,윤영철,2,전공과정,3,월 09:00 - 10:25 ( 공208 )  수 10:25 - 11:50 ( 공208 )
본과정,토목공학과,철근콘크리트공학II,102,윤영철,2,전공과정,3,월 10:25 - 11:50 ( 공208 )  수 09:00 - 10:25 ( 공208 )
본과정,토목공학과,토목시공학,101,최용성,2,전공과정,3,수 15:00 - 15:50 ( 공206 )  수 16:00 - 16:50 ( 공206 )  수 17:00 - 17:50 ( 공206 )
본과정,토목공학과,토목시공학,102,최용성,2,전공과정,3,수 12:00 - 12:50 ( 공206 )  수 13:00 - 13:50 ( 공206 )  수 14:00 - 14:50 ( 공206 )
본과정,토목공학과,토질실험,101,김홍연,2,전공과정,3,수 12:00 - 12:50 ( 공213 )  수 13:00 - 13:50 ( 공213 )  수 14:00 - 14:50 ( 공213 )
본과정,토목공학과,토질실험,102,김홍연,2,전공과정,3,수 15:00 - 15:50 ( 공213 )  수 16:00 - 16:50 ( 공213 )  수 17:00 - 17:50 ( 공213 )
본과정,지적공간정보학과,AI지적학,101,김장현,1,전공과정,3,화 10:00 - 10:50 ( 공713 )  화 11:00 - 11:50 ( 공713 )  화 12:00 - 12:50 ( 공713 )
본과정,지적공간정보학과,AI지적학,102,김장현,1,전공과정,3,화 14:00 - 14:50 ( 공713 )  화 15:00 - 15:50 ( 공713 )  화 16:00 - 16:50 ( 공713 )
본과정,지적공간정보학과,기초측량및실습,101,이은수,1,전공과정,3,수 10:00 - 10:50 ( 공101 )  수 11:00 - 11:50 ( 공101 )  수 12:00 - 12:50 ( 공101 )
본과정,지적공간정보학과,기초측량및실습,102,이은수,1,전공과정,3,수 14:00 - 14:50 ( 공101 )  수 15:00 - 15:50 ( 공101 )  수 16:00 - 16:50 ( 공101 )
본과정,지적공간정보학과,도시계획I,101,이광우,1,전공과정,3,목 10:00 - 10:50 ( 공710 )  목 11:00 - 11:50 ( 공710 )  목 12:00 - 12:50 ( 공710 )
본과정,지적공간정보학과,도시계획I,102,이광우,1,전공과정,3,목 14:00 - 14:50 ( 공710 )  목 15:00 - 15:50 ( 공710 )  목 16:00 - 16:50 ( 공710 )
본과정,지적공간정보학과,민법총칙,101,정우형,1,전공과정,3,화 14:00 - 14:50 ( 공709 )  화 15:00 - 15:50 ( 공709 )  화 16:00 - 16:50 ( 공709 )
본과정,지적공간정보학과,민법총칙,102,정우형,1,전공과정,3,목 10:00 - 10:50 ( 공709 )  목 11:00 - 11:50 ( 공709 )  목 12:00 - 12:50 ( 공709 )
본과정,지적공간정보학과,지적정보능력,101,정영,1,교양과정,2,월 14:00 - 14:50 ( 공711 )  월 15:00 - 15:50 ( 공711 )
본과정,지적공간정보학과,지적정보능력,102,정영,1,교양과정,2,월 16:00 - 16:50 ( 공711 )  월 17:00 - 17:50 ( 공711 )
본과정,지적공간정보학과,GPS,101,이은수,2,전공과정,3,화 10:00 - 10:50 ( 공101 )  화 11:00 - 11:50 ( 공101 )  화 12:00 - 12:50 ( 공101 )
본과정,지적공간정보학과,부동산등기법,101,정우형,2,전공과정,3,수 10:00 - 10:50 ( 공711 )  수 11:00 - 11:50 ( 공711 )  수 12:00 - 12:50 ( 공711 )
본과정,지적공간정보학과,부동산등기법,102,정우형,2,전공과정,3,수 14:00 - 14:50 ( 공713 )  수 15:00 - 15:50 ( 공713 )  수 16:00 - 16:50 ( 공713 )
본과정,지적공간정보학과,지적CAD,101,정영,2,전공과정,3,목 14:00 - 14:50 ( 공713 )  목 15:00 - 15:50 ( 공713 )  목 16:00 - 16:50 ( 공713 )
본과정,지적공간정보학과,지적CAD,102,정영,2,전공과정,3,목 10:00 - 10:50 ( 공713 )  목 11:00 - 11:50 ( 공713 )  목 12:00 - 12:50 ( 공713 )
본과정,지적공간정보학과,지적공간정보종합설계,101,김장현,2,전공과정,3,월 10:00 - 10:50 ( 공711 )  월 11:00 - 11:50 ( 공711 )  월 12:00 - 12:50 ( 공711 )
